NO,식품종류,식품명,상세분류,1회제공량,kcal,단백질(g),지방(g),탄수화물(g)
14094,가공식품,고소한 오곡 쿠키,쿠키,30.0,64.04,0.69,3.12,7.96
14095,가공식품,고소한 유자 쿠키,쿠키,30.0,60.58,0.69,2.77,8.31
14096,가공식품,고코쿠 비스킷,비스킷,30.0,40.91,0.82,1.23,6.55
14097,가공식품,골드피쉬 체다,크래커,30.0,41.1,0.9,1.5,6
14098,가공식품,골든 오레오,쿠키,30.0,43.45,0.31,1.86,6.83
14099,가공식품,골든사나 바나나칩,스낵과자,30.0,45,0.3,2.1,6.3
14100,가공식품,골든 오레오,쿠키,30.0,45.31,0.31,1.86,6.83
14101,가공식품,곰돌이 구미 젤리,젤리,10.0,3.28,0.05,0,0.77
14102,가공식품,곰돌이 젤리,젤리,10.0,3.33,0.07,0,0.8
14103,가공식품,과일맛젤리 믹스,젤리,10.0,3.7,0,0,0.9
14104,가공식품,과일향 플래셔 캔디,사탕,10.0,3.75,0,0,0.94
14105,가공식품,DHA새우깡,스낵과자,30.0,45.36,0.54,2.2,5.44
14106,가공식품,고래밥 매콤,스낵과자,30.0,38.7,0.63,0.81,7.2
14107,가공식품,고래밥 볶음양념,스낵과자,30.0,38.7,0.72,0.81,7.11
14108,가공식품,고래밥 숯불갈비,스낵과자,30.0,37.35,0.72,0.63,7.11
14109,가공식품,골든벨,스낵과자,30.0,49.23,0.52,2.98,4.79
14110,가공식품,꼬깔콘 고소,스낵과자,30.0,48.69,0.55,2.7,5.39
14111,가공식품,꽃게랑,스낵과자,30.0,41.4,0.96,2.46,4.2
14112,가공식품,느타리버섯 스낵,스낵과자,30.0,47.97,0.68,2.82,4.98
14113,가공식품,드라키스쿵 달콤한맛,스낵과자,30.0,46.35,0.45,2.25,6.03
14114,가공식품,땅콩오징어,스낵과자,30.0,42.21,0.95,1.69,5.79
14115,가공식품,마르쏘,스낵과자,30.0,36.9,0.48,1.46,5.2
14116,가공식품,맛동산,스낵과자,30.0,41.94,0.86,1.56,6.11
14117,가공식품,미니볼,스낵과자,30.0,50.85,0.54,3.06,5.13
14118,가공식품,미스터 해머,스낵과자,30.0,42.3,0.81,1.53,6.3
14119,가공식품,미쯔 블랙,스낵과자,30.0,42.75,0.63,1.53,6.75
14120,가공식품,베베,스낵과자,30.0,40.5,0.63,1.17,6.84
14121,가공식품,빠다코코낫,크래커,30.0,45.63,0.49,2.22,5.91
14122,가공식품,빼빼로,초콜릿가공품,30.0,38.52,0.69,1.48,5.53
14123,가공식품,뻥이요,스낵과자,30.0,42.66,0.41,1.32,7.27
14124,가공식품,소프트샐러드스낵,스낵과자,30.0,44.1,0.36,2.25,5.67
14125,가공식품,스모키 베이컨칩,스낵과자,30.0,43.29,0.43,2.35,4.81
